npack,ne,GPU time (ms),GPU GFLOPS
27000,200,17.353,62.2369
28000,200,17.8599,62.7102
29000,200,18.1242,64.003
30000,200,23.3233,51.4508
31000,200,19.773,62.7117
32000,200,25.6814,49.8415
33000,200,20.7395,63.6466
34000,200,21.8243,62.316
35000,200,22.8183,61.3543
36000,200,28.1798,51.1004
37000,200,23.9281,61.8521
38000,200,25.3883,59.8701
39000,200,30.5364,51.0866
40000,200,25.8307,61.9418
1000,250,2.1505,29.0631
2000,250,2.85236,43.8233
3000,250,4.24631,44.156
4000,250,4.29655,58.1862
5000,250,5.4491,57.3489
6000,250,6.15543,60.9218
7000,250,8.1503,53.679
8000,250,7.75704,64.4576
9000,250,10.4019,54.0764
10000,250,9.33066,66.9835
11000,250,10.37,66.2971
12000,250,10.7426,69.8157
13000,250,11.6999,69.4451
14000,250,12.7279,68.7464
15000,250,13.4104,69.9082
16000,250,14.0255,71.2989
17000,250,15.2913,69.4841
18000,250,16.3916,68.6328
19000,250,16.6095,71.4952
20000,250,18.192,68.7114
21000,250,18.7174,70.1219
22000,250,23.7669,57.8536
23000,250,20.7635,69.2322
24000,250,25.8323,58.0668
25000,250,22.5077,69.4206
26000,250,23.2718,69.8271
27000,250,29.6857,56.8456
28000,250,25.0403,69.8873
29000,250,26.3934,68.6725
30000,250,26.7558,70.0781
31000,250,34.1946,56.661
32000,250,29.772,67.1773
33000,250,36.1091,57.1185
34000,250,31.1735,68.167
35000,250,32.3488,67.6222
36000,250,33.1967,67.7778
37000,250,40.1465,57.6016
38000,250,35.3113,67.2589
39000,250,36.5151,66.7533
40000,250,44.548,56.1192
1000,300,2.24157,40.1504
2000,300,2.97586,60.4866
3000,300,4.31292,62.6026
4000,300,5.49598,65.5024
5000,300,6.63394,67.833
6000,300,9.20898,58.6384
7000,300,8.79814,71.606
8000,300,9.76985,73.6961
9000,300,13.2092,61.3209
10000,300,12.141,74.1291
11000,300,13.3305,74.2655
12000,300,13.9639,77.3423
13000,300,18.8688,62.0071
14000,300,19.8752,63.3957
15000,300,17.8763,75.519
16000,300,22.0521,65.3
17000,300,23.4729,65.1815
18000,300,20.7961,77.8991
19000,300,26.4062,64.7574
20000,300,28.2771,63.6557
21000,300,29.581,63.8925
22000,300,25.5066,77.627
23000,300,26.885,76.9945
24000,300,33.4561,64.5623
25000,300,29.8593,75.3535
26000,300,36.8775,63.4533
27000,300,32.9714,73.7001
28000,300,38.9444,64.7077
29000,300,34.6739,75.2728
30000,300,35.8765,75.2581
31000,300,37.9183,73.5793
32000,300,45.3253,63.5406
33000,300,46.6644,63.6459
34000,300,41.6808,73.4152
35000,300,50.1178,62.8519
36000,300,45.0772,71.8767
37000,300,52.6168,63.2878
38000,300,54.2455,63.0467
39000,300,48.7544,71.9935
40000,300,56.9476,63.216
1000,350,2.34845,52.162
2000,350,3.85169,63.6085
3000,350,6.32589,58.0946
4000,350,7.0231,69.7697
5000,350,9.56021,64.0676
6000,350,9.42955,77.9465
7000,350,11.1065,77.2069
8000,350,12.3803,79.1579
9000,350,16.4283,67.1099
10000,350,15.4959,79.0531
11000,350,19.4798,69.1743
12000,350,21.118,69.6088
13000,350,19.6082,81.2161
14000,350,20.5349,83.5162
15000,350,22.1374,83.0043
16000,350,23.9233,81.9286
17000,350,24.5916,84.6832
18000,350,31.5136,69.9698
19000,350,28.2787,82.3056
20000,350,29.6743,82.5631
21000,350,31.2483,82.3246
22000,350,33.1184,81.3748
23000,350,39.9097,70.5969
24000,350,41.9766,70.0391
25000,350,38.7838,78.9634
26000,350,39.8045,80.0161
27000,350,41.574,79.5569
28000,350,43.4712,78.9027
29000,350,45.2655,78.4814
30000,350,52.95,69.4051
31000,350,47.7989,79.4474
32000,350,56.3776,69.5311
33000,350,59.1497,68.3436
34000,350,53.6316,77.6595
35000,350,61.6564,69.5386
36000,350,56.5847,77.9363
37000,350,58.3838,77.6329
38000,350,60.812,76.5474
39000,350,69.4275,68.8127
40000,350,62.8488,77.9649
1000,400,3.17638,50.3718
2000,400,4.83193,66.2262
3000,400,6.63281,72.3675
4000,400,9.14047,70.0183
5000,400,10.1531,78.794
6000,400,11.7694,81.5673
7000,400,13.3669,83.7889
8000,400,14.9903,85.3884
9000,400,16.6008,86.7429
10000,400,18.4529,86.7073
11000,400,20.1043,87.5434
12000,400,25.9869,73.8835
13000,400,23.6458,87.9648
14000,400,26.2804,85.2345
15000,400,32.0221,74.9482
16000,400,33.9858,75.3257
17000,400,31.8032,85.5259
18000,400,38.64,74.5343
19000,400,34.5983,87.8656
20000,400,37.9577,84.3044
21000,400,45.0251,74.625
22000,400,40.9277,86.0053
23000,400,43.7747,84.0668
24000,400,51.7017,74.2722
25000,400,53.8648,74.26
26000,400,49.9896,83.2173
27000,400,52.1009,82.9161
28000,400,60.2919,74.3051
29000,400,56.4552,82.1891
30000,400,64.9231,73.9336
31000,400,59.8055,82.9356
32000,400,61.9037,82.7091
33000,400,63.5788,83.0466
34000,400,65.8282,82.6393
35000,400,67.9324,82.4349
36000,400,77.6452,74.1836
37000,400,79.7153,74.2643
38000,400,73.2781,82.9716
39000,400,84.6612,73.7055
40000,400,78.6876,81.3343
1000,450,3.67439,55.1112
2000,450,5.67658,71.3457
3000,450,7.82784,77.6077
4000,450,11.3402,71.427
5000,450,13.6471,74.1919
6000,450,15.8661,76.5786
7000,450,18.7286,75.6862
8000,450,18.4292,87.9038
9000,450,23.5218,77.4813
10000,450,22.6907,89.2436
11000,450,24.7946,89.838
12000,450,26.8025,90.6632
13000,450,33.7727,77.9476
14000,450,36.2944,78.1112
15000,450,38.8054,78.2753
16000,450,41.3865,78.2864
17000,450,38.3441,89.7792
18000,450,40.9509,89.009
19000,450,43.8522,87.738
