npack,ne,GPU time (ms),GPU GFLOPS
1000,1200,14.3976,100.017
2000,1200,25.8105,111.582
3000,1200,37.8839,114.033
4000,1200,53.4868,107.69
5000,1200,67.5115,106.649
6000,1200,79.2188,109.065
7000,1200,92.5298,108.938
8000,1200,105.26,109.443
9000,1200,114.246,113.439
10000,1200,132.636,108.568
11000,1200,139.033,113.93
12000,1200,158.152,109.262
13000,1200,172.597,108.461
14000,1200,177.171,113.789
15000,1200,189.828,113.787
16000,1200,201.452,114.37
17000,1200,215.475,113.61
18000,1200,237.628,109.078
19000,1200,238.964,114.494
20000,1200,263.194,109.425
21000,1200,277.577,108.943
22000,1200,289.717,109.348
23000,1200,290.479,114.019
24000,1200,301.792,114.516
25000,1200,317.496,113.387
26000,1200,342.435,109.335
27000,1200,354.634,109.634
28000,1200,352.227,114.472
29000,1200,383.043,109.022
30000,1200,380.054,113.668
31000,1200,406.685,109.766
32000,1200,419.636,109.809
33000,1200,434.451,109.379
34000,1200,432.216,113.277
35000,1200,442.28,113.955
36000,1200,456.101,113.659
37000,1200,469.64,113.449
38000,1200,501.184,109.181
39000,1200,514.363,109.184
40000,1200,523.928,109.939
1000,1250,16.1902,96.5092
2000,1250,28.5278,109.542
3000,1250,40.9812,114.382
4000,1250,54.62,114.427
5000,1250,68.7155,113.693
6000,1250,82.6313,113.456
7000,1250,97.3904,112.306
8000,1250,116.477,107.317
9000,1250,126.02,111.589
10000,1250,139.686,111.858
11000,1250,161.339,106.531
12000,1250,166.192,112.822
13000,1250,180.841,112.323
14000,1250,194.936,112.216
15000,1250,207.989,112.686
16000,1250,223.144,112.035
17000,1250,244.791,108.511
18000,1250,261.115,107.711
19000,1250,265.342,111.884
20000,1250,289.772,107.843
21000,1250,290.974,112.768
22000,1250,305.545,112.504
23000,1250,320.577,112.102
24000,1250,332.452,112.798
25000,1250,347.996,112.25
26000,1250,360.42,112.716
27000,1250,392.076,107.6
28000,1250,388.927,112.489
29000,1250,415.539,109.045
30000,1250,431.879,108.537
31000,1250,429.659,112.735
32000,1250,460.512,108.575
33000,1250,456.468,112.96
34000,1250,468.303,113.441
35000,1250,486.082,112.507
36000,1250,498.425,112.855
37000,1250,509.951,113.369
38000,1250,543.715,109.202
39000,1250,558.018,109.204
40000,1250,554.577,112.699
1000,1300,17.8717,94.5627
2000,1300,30.5874,110.503
3000,1300,46.9529,107.981
4000,1300,58.5399,115.477
5000,1300,74.0279,114.146
6000,1300,93.9132,107.972
7000,1300,104.256,113.471
8000,1300,118.806,113.799
9000,1300,134.916,112.737
10000,1300,156.127,108.245
11000,1300,164.191,113.222
12000,1300,186.667,108.643
13000,1300,202.496,108.496
14000,1300,209.039,113.184
15000,1300,223.641,113.351
16000,1300,247.441,109.279
17000,1300,307.385,93.4658
18000,1300,269.869,112.721
19000,1300,294.776,108.93
20000,1300,299.337,112.916
21000,1300,325.381,109.072
22000,1300,341.355,108.919
23000,1300,342.598,113.456
24000,1300,371.012,109.323
25000,1300,374.169,112.917
26000,1300,387.397,113.424
27000,1300,403.946,112.961
28000,1300,417.58,113.32
29000,1300,433.132,113.152
30000,1300,464.592,109.128
31000,1300,478.844,109.409
32000,1300,476.874,113.405
33000,1300,512.207,108.882
34000,1300,525.648,109.313
35000,1300,521.007,113.53
36000,1300,555.875,109.449
37000,1300,552.242,113.229
38000,1300,565.097,113.644
39000,1300,582.021,113.243
40000,1300,594.847,113.643
1000,1350,17.9318,101.635
2000,1350,34.5539,105.487
3000,1350,50.4338,108.409
4000,1350,62.5528,116.542
5000,1350,83.0373,109.74
6000,1350,93.6545,116.759
7000,1350,110.454,115.5
8000,1350,125.616,116.068
9000,1350,148.498,110.456
10000,1350,158.095,115.278
11000,1350,173.849,115.316
12000,1350,188.247,116.177
13000,1350,212.769,111.353
14000,1350,229.25,111.298
15000,1350,236.484,115.6
16000,1350,260.657,111.871
17000,1350,268.238,115.504
18000,1350,294.908,111.238
19000,1350,310.78,111.421
20000,1350,326.32,111.7
21000,1350,330.262,115.885
22000,1350,347.793,115.284
23000,1350,374.858,111.822
24000,1350,391.943,111.598
25000,1350,410.231,111.066
26000,1350,408.3,116.054
27000,1350,440.546,111.697
28000,1350,439.976,115.984
29000,1350,457.471,115.532
30000,1350,472.312,115.76
31000,1350,504.678,111.948
32000,1350,502.492,116.062
33000,1350,539.042,111.573
34000,1350,535.735,115.664
35000,1350,570.674,111.776
36000,1350,564.697,116.186
37000,1350,604.936,111.471
38000,1350,618.181,112.03
39000,1350,635.778,111.796
40000,1350,629.005,115.897
1000,1400,19.4407,100.819
2000,1400,34.3264,114.198
3000,1400,53.5214,109.863
4000,1400,67.0459,116.935
5000,1400,83.4848,117.387
6000,1400,105.209,111.777
7000,1400,116.532,117.736
8000,1400,138.162,113.49
9000,1400,150.88,116.914
10000,1400,166.781,117.519
11000,1400,184.387,116.928
12000,1400,199.769,117.736
13000,1400,217.079,117.377
14000,1400,243.623,112.633
15000,1400,250.087,117.559
16000,1400,266.522,117.664
17000,1400,293.888,113.376
18000,1400,311.396,113.296
19000,1400,317.666,117.23
20000,1400,345.076,113.598
21000,1400,350.879,117.305
22000,1400,366.41,117.682
23000,1400,382.494,117.858
24000,1400,399.494,117.749
25000,1400,416.635,117.609
26000,1400,433.242,117.625
27000,1400,448.621,117.961
28000,1400,469.159,116.975
29000,1400,500.16,113.644
30000,1400,500.777,117.418
31000,1400,515.94,117.766
32000,1400,551.304,113.767
33000,1400,568.756,113.722
34000,1400,566.036,117.731
35000,1400,602.905,113.783
36000,1400,598.227,117.949
37000,1400,614.88,117.942
38000,1400,654.286,113.834
39000,1400,670.885,113.939
40000,1400,664.115,118.052
1000,1450,21.6519,97.1047
2000,1450,37.1838,113.087
3000,1450,57.1456,110.376
4000,1450,71.4195,117.755
5000,1450,90.5331,116.118
6000,1450,109.259,115.459
7000,1450,129.058,114.038
8000,1450,146.799,114.578
9000,1450,171.322,110.45
10000,1450,183.137,114.805
11000,1450,199.919,115.684
12000,1450,227.589,110.858
13000,1450,237.345,115.159
14000,1450,255.919,115.017
15000,1450,275.185,114.605
16000,1450,303.559,110.818
17000,1450,310.799,115.002
18000,1450,341.048,110.967
19000,1450,359.487,111.124
20000,1450,364.577,115.339
21000,1450,383.868,115.02
22000,1450,402.364,114.958
23000,1450,418.506,115.548
24000,1450,453.043,111.38
25000,1450,472.975,111.132
26000,1450,474.713,115.154
27000,1450,493.045,115.136
28000,1450,525.384,112.051
29000,1450,527.346,115.622
30000,1450,547.93,115.115
31000,1450,583.607,111.68
32000,1450,581.037,115.793
33000,1450,623.997,111.19
34000,1450,621.881,114.95
35000,1450,639.3,115.106
36000,1450,658.558,114.933
37000,1450,677.257,114.864
38000,1450,692.555,115.363
39000,1450,735.312,111.514
40000,1450,750.972,111.988
1000,1500,21.9209,102.642
2000,1500,39.5201,113.866
3000,1500,57.6523,117.081
4000,1500,81.0993,110.975
5000,1500,97.9221,114.887
6000,1500,116.203,116.176
7000,1500,141.654,111.186
8000,1500,160.984,111.813
9000,1500,177.198,114.279
10000,1500,195.418,115.138
11000,1500,222.491,111.24
12000,1500,233.33,115.716
13000,1500,253.475,115.396
14000,1500,273.47,115.186
15000,1500,302.979,111.394
16000,1500,322.502,111.627
17000,1500,331.563,115.363
18000,1500,362.02,111.872
19000,1500,383.151,111.575
20000,1500,389.646,115.49
21000,1500,423.567,111.553
22000,1500,427.323,115.837
23000,1500,462.114,111.985
24000,1500,465.096,116.105
25000,1500,503.127,111.801
26000,1500,520.524,112.387
27000,1500,526.229,115.444
28000,1500,544.001,115.809
29000,1500,561.361,116.235
30000,1500,581.182,116.143
31000,1500,602.122,115.84
32000,1500,640.762,112.366
33000,1500,660.92,112.343
34000,1500,657.484,116.353
35000,1500,700.915,112.353
36000,1500,696.777,116.25
37000,1500,742.38,112.139
38000,1500,736.742,116.051
39000,1500,757.878,115.784
40000,1500,772.456,116.511
1000,1550,23.2643,103.27
2000,1550,41.2592,116.459
3000,1550,60.5345,119.064
4000,1550,80.8704,118.832
5000,1550,106.548,112.742
6000,1550,122.878,117.311
7000,1550,143.773,116.973
8000,1550,162.408,118.344
9000,1550,184.274,117.339
10000,1550,204.412,117.532
11000,1550,225.267,117.316
12000,1550,254.236,113.399
13000,1550,266.35,117.261
14000,1550,295.75,113.728
15000,1550,317.361,113.554
16000,1550,327.202,117.481
17000,1550,359.322,113.665
18000,1550,367.888,117.549
19000,1550,388.892,117.378
20000,1550,423.953,113.338
21000,1550,444.911,113.399
22000,1550,449.104,117.69
23000,1550,469.816,117.615
24000,1550,505.626,114.037
25000,1550,510.179,117.728
26000,1550,550.323,113.506
27000,1550,569.207,113.961
28000,1550,569.49,118.123
29000,1550,611.411,113.954
30000,1550,613.125,117.554
31000,1550,632.711,117.712
32000,1550,652.167,117.884
33000,1550,697.233,113.71
34000,1550,693.605,117.769
35000,1550,714.075,117.757
36000,1550,756.079,114.393
37000,1550,755.784,117.616
38000,1550,801.252,113.94
39000,1550,823.159,113.827
40000,1550,813.884,118.076
1000,1600,25.3737,100.892
2000,1600,44.1668,115.924
3000,1600,68.1067,112.764
4000,1600,89.7643,114.076
5000,1600,106.536,120.147
6000,1600,133.436,115.112
7000,1600,154.474,116.007
8000,1600,170.41,120.181
9000,1600,200.284,115.037
10000,1600,213.807,119.734
11000,1600,234.34,120.167
12000,1600,256.228,119.893
13000,1600,287.375,115.807
14000,1600,300.287,119.353
15000,1600,329.729,116.459
16000,1600,340.938,120.139
17000,1600,361.808,120.285
18000,1600,384.452,119.859
19000,1600,405.917,119.828
20000,1600,425.553,120.314
21000,1600,448.445,119.881
22000,1600,472.201,119.271
23000,1600,490.457,120.051
24000,1600,528.919,116.161
25000,1600,548.643,116.651
26000,1600,552.792,120.407
27000,1600,575.677,120.067
28000,1600,615.537,116.451
29000,1600,617.058,120.313
30000,1600,658.255,116.672
31000,1600,660.218,120.203
32000,1600,681.317,120.238
33000,1600,701.196,120.48
34000,1600,745.092,116.818
35000,1600,747.517,119.864
36000,1600,792.879,116.235
37000,1600,784.633,120.719
38000,1600,807.212,120.514
39000,1600,856.935,116.508
40000,1600,850.444,120.408
1000,1650,27.2531,99.8969
2000,1650,46.7066,116.579
3000,1650,69.2136,118.004
4000,1650,91.2632,119.325
5000,1650,121.331,112.193
6000,1650,144.909,112.726
7000,1650,169.695,112.304
8000,1650,188.488,115.551
9000,1650,211.066,116.089
10000,1650,240.388,113.254
11000,1650,257.618,116.248
12000,1650,289.591,112.814
13000,1650,312.157,113.38
14000,1650,337.727,112.857
15000,1650,349.004,117.011
16000,1650,384.107,113.406
17000,1650,407.561,113.56
18000,1650,419.086,116.933
19000,1650,455.539,113.552
20000,1650,460.113,118.341
21000,1650,486.763,117.455
22000,1650,527.242,113.601
23000,1650,533.836,117.297
24000,1650,569.365,114.759
25000,1650,577.083,117.942
26000,1650,617.244,114.679
27000,1650,644.753,114.009
28000,1650,667.741,114.161
29000,1650,691.269,114.214
30000,1650,711.366,114.814
31000,1650,740.413,113.987
32000,1650,735.928,118.381
33000,1650,784.591,114.509
34000,1650,784.651,117.97
35000,1650,832.919,114.402
36000,1650,858.819,114.122
37000,1650,853.721,117.992
38000,1650,905.267,114.281
39000,1650,900.663,117.888
40000,1650,924.838,117.75
1000,1700,27.3099,105.822
2000,1700,51.6112,111.991
3000,1700,76.9108,112.728
4000,1700,97.6635,118.366
5000,1700,123.904,116.622
6000,1700,148.523,116.75
7000,1700,174.462,115.956
8000,1700,197.129,117.284
9000,1700,230.009,113.083
10000,1700,246.364,117.306
11000,1700,280.406,113.371
12000,1700,296.862,116.822
13000,1700,319.954,117.423
14000,1700,355.029,113.962
15000,1700,370.24,117.086
16000,1700,394.926,117.085
17000,1700,418.034,117.526
18000,1700,456.274,114.01
19000,1700,470.045,116.819
20000,1700,490.861,117.752
21000,1700,530.079,114.492
22000,1700,541.807,117.348
23000,1700,585.072,113.61
24000,1700,590.431,117.473
25000,1700,609.662,118.508
26000,1700,658.363,114.132
27000,1700,661.893,117.889
28000,1700,688.467,117.536
29000,1700,709.874,118.063
30000,1700,736.096,117.784
31000,1700,757.738,118.233
32000,1700,807.292,114.556
33000,1700,808.662,117.936
34000,1700,829.976,118.389
35000,1700,887.22,114.008
36000,1700,884.223,117.663
37000,1700,905.408,118.101
38000,1700,958.402,114.587
39000,1700,950.964,118.522
40000,1700,978.465,118.144
1000,1750,30.1638,101.529
2000,1750,51.9186,117.973
3000,1750,77.1857,119.031
4000,1750,103.058,118.866
5000,1750,128.924,118.771
6000,1750,159.344,115.316
7000,1750,186.064,115.216
8000,1750,205.292,119.342
9000,1750,240.036,114.827
10000,1750,258.879,118.299
11000,1750,283.521,118.818
12000,1750,309.012,118.927
13000,1750,336.638,118.265
14000,1750,362.524,118.268
15000,1750,386.286,118.921
16000,1750,423.596,115.676
17000,1750,438.02,118.859
18000,1750,476.194,115.762
19000,1750,502.953,115.692
20000,1750,516.071,118.685
21000,1750,556.452,115.576
22000,1750,585.536,115.066
23000,1750,591.23,119.137
24000,1750,616.534,119.215
25000,1750,642.215,119.216
26000,1750,669.645,118.906
27000,1750,712.987,115.973
28000,1750,741.028,115.718
29000,1750,745.109,119.194
30000,1750,793.882,115.729
31000,1750,797.752,119.006
32000,1750,819.624,119.567
33000,1750,875.842,115.389
34000,1750,898.167,115.931
35000,1750,894.97,119.767
36000,1750,922.376,119.528
37000,1750,978.357,115.819
38000,1750,976.46,119.18
39000,1750,1002.86,119.097
40000,1750,1055.73,116.034
1000,1800,31.6344,102.42
2000,1800,54.7057,118.452
3000,1800,80.421,120.864
4000,1800,110.912,116.849
5000,1800,135.26,119.769
6000,1800,161.035,120.719
7000,1800,187.697,120.833
8000,1800,219.675,117.992
9000,1800,241.558,120.717
10000,1800,268.213,120.799
11000,1800,303.785,117.32
12000,1800,329.971,117.829
13000,1800,348.473,120.87
14000,1800,387.041,117.197
15000,1800,412.183,117.909
16000,1800,426.576,121.526
17000,1800,468.028,117.685
18000,1800,494.826,117.86
19000,1800,521.918,117.95
20000,1800,534.749,121.178
21000,1800,563.45,120.756
22000,1800,605.169,117.785
23000,1800,630.003,118.285
24000,1800,639.253,121.642
25000,1800,670.119,120.874
26000,1800,716.493,117.573
27000,1800,719.113,121.65
28000,1800,747.952,121.291
29000,1800,776.147,121.06
30000,1800,801.207,121.317
31000,1800,848.041,118.438
32000,1800,875.308,118.45
33000,1800,906.933,117.892
34000,1800,906.571,121.513
35000,1800,930.356,121.889
36000,1800,984.441,118.483
37000,1800,1015.59,118.039
38000,1800,1041.54,118.21
39000,1800,1069.75,118.121
40000,1800,1092.85,118.589
1000,1850,31.2694,109.452
2000,1850,60.623,112.911
3000,1850,85.1403,120.595
4000,1850,112.71,121.462
5000,1850,147.649,115.9
6000,1850,179.675,114.29
7000,1850,202.413,118.36
8000,1850,239.083,114.521
9000,1850,269.876,114.136
10000,1850,289.989,118.022
11000,1850,318.843,118.075
12000,1850,353.035,116.334
13000,1850,372.411,119.472
14000,1850,418.42,114.514
15000,1850,443.621,115.724
16000,1850,461.992,118.53
17000,1850,490.002,118.739
18000,1850,520.917,118.263
19000,1850,543.102,119.733
20000,1850,577.671,118.493
21000,1850,627.303,114.574
22000,1850,632.498,119.044
23000,1850,676.7,116.326
24000,1850,687.308,119.51
25000,1850,716.535,119.411
26000,1850,747.324,119.071
27000,1850,800.612,115.421
28000,1850,805.5,118.97
29000,1850,830.533,119.505
30000,1850,888.871,115.512
31000,1850,893.168,118.788
32000,1850,920.773,118.944
33000,1850,937.474,120.475
34000,1850,981.676,118.537
35000,1850,1034.13,115.834
36000,1850,1059.19,116.324
37000,1850,1069.16,118.441
38000,1850,1093.25,118.962
39000,1850,1122.16,118.947
40000,1850,1149.08,119.139
1000,1900,35.0254,103.068
2000,1900,61.0924,118.182
3000,1900,93.9532,115.27
4000,1900,120.106,120.227
5000,1900,153.23,117.797
6000,1900,188.483,114.917
7000,1900,213.503,118.359
8000,1900,243.071,118.813
9000,1900,275.105,118.1
10000,1900,305.309,118.241
11000,1900,335.314,118.426
12000,1900,365.043,118.671
13000,1900,407.738,115.098
14000,1900,424.967,118.927
15000,1900,469.547,115.324
16000,1900,487.433,118.498
17000,1900,518.718,118.311
18000,1900,561.622,115.701
19000,1900,592.108,115.84
20000,1900,607.836,118.782
21000,1900,639.292,118.584
22000,1900,668.21,118.855
23000,1900,699.688,118.667
24000,1900,743.102,116.592
25000,1900,783.17,115.237
26000,1900,789.845,118.833
27000,1900,840.079,116.025
28000,1900,870.322,116.141
29000,1900,881.052,118.824
30000,1900,911.702,118.789
31000,1900,965.333,115.929
32000,1900,969.819,119.115
33000,1900,1030.45,115.61
34000,1900,1060.34,115.755
35000,1900,1057.3,119.503
36000,1900,1114.17,116.643
37000,1900,1123.71,118.865
38000,1900,1151.78,119.103
39000,1900,1221.16,115.292
40000,1900,1243.32,116.141
1000,1950,34.62,109.835
2000,1950,66.9987,113.51
3000,1950,99.4589,114.696
4000,1950,131.176,115.951
5000,1950,159.746,119.017
6000,1950,190.891,119.518
7000,1950,227.569,116.965
8000,1950,259.386,117.277
9000,1950,293.899,116.443
10000,1950,318.252,119.481
11000,1950,356.436,117.349
12000,1950,380.401,119.952
13000,1950,412.57,119.816
14000,1950,455.269,116.931
15000,1950,486.863,117.153
16000,1950,519.242,117.171
17000,1950,537.804,120.197
18000,1950,567.139,120.685
19000,1950,600.246,120.363
20000,1950,648.002,117.361
21000,1950,681.22,117.22
22000,1950,711.782,117.529
23000,1950,727.213,120.264
24000,1950,774.427,117.842
25000,1950,809.618,117.416
26000,1950,821.582,120.335
27000,1950,874.4,117.415
28000,1950,905.987,117.518
29000,1950,936.884,117.701
30000,1950,945.599,120.638
31000,1950,1003.53,117.463
32000,1950,1035.45,117.514
33000,1950,1043.21,120.285
34000,1950,1070.01,120.826
35000,1950,1102.96,120.664
36000,1950,1163.07,117.698
37000,1950,1166.41,120.62
38000,1950,1227.82,117.685
39000,1950,1260.93,117.61
40000,1950,1258.33,120.875
1000,2000,36.8611,108.516
2000,2000,67.2786,118.909
3000,2000,102.811,116.719
4000,2000,131.294,121.864
5000,2000,170.638,117.207
6000,2000,202.404,118.574
7000,2000,230.076,121.699
8000,2000,262.264,122.015
9000,2000,296.214,121.534
10000,2000,328.015,121.946
11000,2000,361.152,121.832
12000,2000,402.046,119.389
13000,2000,426.123,122.03
14000,2000,469.323,119.321
15000,2000,489.497,122.575
16000,2000,522.39,122.514
17000,2000,557.001,122.082
18000,2000,587.082,122.64
19000,2000,617.511,123.075
20000,2000,669.216,119.543
21000,2000,685.158,122.6
22000,2000,716.512,122.817
23000,2000,769.995,119.481
24000,2000,803.796,119.433
25000,2000,814.64,122.754
26000,2000,846.06,122.923
27000,2000,879.217,122.837
28000,2000,910.349,123.03
29000,2000,969.24,119.681
30000,2000,974.668,123.119
31000,2000,1009.95,122.779
32000,2000,1041,122.958
33000,2000,1073.02,123.017
34000,2000,1104.25,123.16
35000,2000,1171.52,119.502
36000,2000,1203.16,119.685
37000,2000,1205.31,122.79
38000,2000,1269.75,119.708
39000,2000,1269.11,122.921
40000,2000,1299.79,123.097
